direction,entry_time,entry_price,exit_time,exit_price,exit_reason,sl_dist_pct,gross_pnl_pct,net_pnl_pct,r_multiple
short,2025-01-02 01:30:00,1.03616,2025-01-02 02:00:00,1.0367673891780524,SL,0.0005861924587442601,-0.0005861924587442822,-0.0008861924587442822,-1.5117773105486232
long,2025-01-02 16:30:00,1.02648,2025-01-03 00:30:00,1.02718,TECH,0.0012804038229713877,0.0006819421713037982,0.00038194217130379826,0.2982982122135801
long,2025-01-03 01:30:00,1.02732,2025-01-03 02:30:00,1.0283528663231407,TP,0.0005026994135910468,0.0010053988271820874,0.0007053988271820875,1.40322190181813
short,2025-01-03 10:30:00,1.02751,2025-01-03 10:45:00,1.0286976469421503,SL,0.0011558495218054923,-0.0011558495218054758,-0.0014558495218054757,-1.2595493568499896
long,2025-01-03 12:45:00,1.02997,2025-01-05 19:15:00,1.02965,TECH,0.0012195635063911136,-0.0003106886608348767,-0.0006106886608348767,-0.5007436329757059
long,2025-01-05 21:30:00,1.03133,2025-01-06 01:30:00,1.0309,TECH,0.0007841648844412804,-0.00041693735273884446,-0.0007169373527388444,-0.914268627636475
long,2025-01-06 03:00:00,1.03274,2025-01-06 03:30:00,1.0343317783358834,TP,0.0007706578305688681,0.0015413156611377697,0.0012413156611377697,1.610722180324154
short,2025-01-06 10:45:00,1.03753,2025-01-06 16:15:00,1.03878,TECH,0.002687766763485836,-0.0012047844399679752,-0.0015047844399679751,-0.5598642190278372
short,2025-01-06 19:00:00,1.03831,2025-01-06 22:30:00,1.0391532964155308,SL,0.0008121817333270352,-0.0008121817333269585,-0.0011121817333269585,-1.369375458336151
long,2025-01-06 22:45:00,1.03924,2025-01-07 02:00:00,1.0406611455259722,TP,0.0006837426994593779,0.0013674853989187083,0.0010674853989187084,1.5612384596760571
short,2025-01-07 07:30:00,1.04053,2025-01-07 10:00:00,1.0381077550988507,TP,0.0011639476522297256,0.002327895304459539,0.0020278953044595392,1.7422564499140365
long,2025-01-07 20:00:00,1.03468,2025-01-08 00:15:00,1.03502,TECH,0.0007278340634681511,0.00032860401283489284,2.860401283489287e-05,0.03930018430106705
long,2025-01-08 01:00:00,1.03549,2025-01-08 01:45:00,1.0349446727280114,SL,0.0005266369274340205,-0.0005266369274340053,-0.0008266369274340052,-1.5696524196692798
short,2025-01-08 02:45:00,1.03356,2025-01-08 03:45:00,1.0320729499878507,TP,0.0007193825284208061,0.0014387650568417187,0.0011387650568417187,1.5829756935319854
long,2025-01-08 10:45:00,1.02989,2025-01-08 19:45:00,1.03083,TECH,0.0015515877035394763,0.000912718834050181,0.0006127188340501811,0.3948979697715115
long,2025-01-08 22:00:00,1.03165,2025-01-08 23:00:00,1.0310718810367545,SL,0.0005603828461643806,-0.0005603828461643428,-0.0008603828461643428,-1.5353482927847533
short,2025-01-09 00:00:00,1.03089,2025-01-09 02:30:00,1.0296993285490632,TP,0.0005774968478386466,0.0011549936956774004,0.0008549936956774005,1.480516645029874
long,2025-01-09 05:15:00,1.03063,2025-01-09 07:30:00,1.03011,TECH,0.0010655229970062492,-0.0005045457632708673,-0.0008045457632708673,-0.7550712331234168
long,2025-01-09 09:15:00,1.03123,2025-01-09 10:00:00,1.030230148529543,SL,0.0009695717448647727,-0.0009695717448648727,-0.0012695717448648726,-1.3094149572623337
short,2025-01-09 11:30:00,1.02951,2025-01-09 15:15:00,1.03003,TECH,0.0009575907164820041,-0.0005050946566814077,-0.0008050946566814077,-0.840750273393589
short,2025-01-09 18:00:00,1.03007,2025-01-09 21:45:00,1.02992,TECH,0.0004853283265210095,0.0001456211713767943,-0.0001543788286232057,-0.3180915272962596
short,2025-01-10 00:00:00,1.0295,2025-01-10 00:45:00,1.0285040343283132,TP,0.00048371329367986594,0.0009674265873598016,0.0006674265873598017,1.379797901112724
long,2025-01-10 04:00:00,1.03027,2025-01-10 08:30:00,1.0294609704294495,SL,0.0007852597576853973,-0.0007852597576853761,-0.0010852597576853761,-1.3820391877513851
short,2025-01-10 08:45:00,1.02505,2025-01-10 09:15:00,1.0267821589685602,SL,0.001689828758167954,-0.0016898287581680505,-0.0019898287581680504,-1.1775327816798105
long,2025-01-10 15:45:00,1.0243,2025-01-12 19:00:00,1.0243,TECH,0.0013498716985744295,0.0,-0.0003,-0.22224334380580282
long,2025-01-12 19:15:00,1.02421,2025-01-12 19:30:00,1.02403,TECH,0.0009183115603810452,-0.00017574520850222999,-0.00047574520850223,-0.5180651415352147
long,2025-01-12 20:00:00,1.02424,2025-01-12 20:15:00,1.02452,TECH,0.0008601396149741103,0.000273373428102845,-2.6626571897154984e-05,-0.030956104606292816
long,2025-01-12 20:30:00,1.02449,2025-01-12 20:45:00,1.02419,TECH,0.0008432877228099492,-0.0002928286269265361,-0.0005928286269265361,-0.7029968667765618
long,2025-01-12 22:00:00,1.02402,2025-01-12 22:15:00,1.02338,TECH,0.0008142467682619171,-0.0006249877932071385,-0.0009249877932071384,-1.1360042548054663
long,2025-01-13 03:15:00,1.02289,2025-01-13 03:30:00,1.0217619856397668,SL,0.001102771911186198,-0.0011027719111861907,-0.0014027719111861907,-1.2720417494831704
short,2025-01-13 04:30:00,1.01868,2025-01-13 05:00:00,1.0202344113424728,SL,0.0015259073923830908,-0.0015259073923830895,-0.0018259073923830894,-1.1966043296582192
long,2025-01-13 09:15:00,1.02064,2025-01-13 11:00:00,1.0191685841068316,SL,0.001441660030146115,-0.0014416600301461323,-0.0017416600301461322,-1.2080934434796058
short,2025-01-13 16:15:00,1.0219,2025-01-13 16:30:00,1.02224,TECH,0.0009026404042407429,-0.0003327135727566366,-0.0006327135727566366,-0.7009586207132446
short,2025-01-13 21:15:00,1.0242,2025-01-13 22:00:00,1.025392384855826,SL,0.001164210950816171,-0.0011642109508162044,-0.0014642109508162043,-1.2576852586635765
long,2025-01-14 00:00:00,1.02501,2025-01-14 03:15:00,1.026848368708322,TP,0.0008967564747281064,0.0017935129494562028,0.001493512949456203,1.6654610159453056
short,2025-01-14 07:00:00,1.0254,2025-01-14 08:30:00,1.0265224090686105,SL,0.001094606074322581,-0.001094606074322592,-0.001394606074322592,-1.2740711997105187
long,2025-01-14 10:15:00,1.02745,2025-01-14 15:15:00,1.030806957439719,TP,0.0016336354273779122,0.003267270854755927,0.002967270854755927,1.816360495755521
short,2025-01-14 20:00:00,1.03012,2025-01-15 00:15:00,1.03011,TECH,0.0006534498672347183,9.707606880599802e-06,-0.0002902923931194002,-0.44424585216898904
