direction,entry_time,entry_price,exit_time,exit_price,exit_reason,sl_dist_pct,gross_pnl_pct,net_pnl_pct,r_multiple
short,2025-01-02 01:30:00,1.03616,2025-01-02 02:45:00,1.0369599999999999,SL,0.0007720815318097592,-0.0007720815318096741,-0.001072081531809674,-1.3885599999998897
long,2025-01-02 16:30:00,1.02648,2025-01-03 00:30:00,1.02718,TECH,0.0012804038229713877,0.0006819421713037982,0.00038194217130379826,0.2982982122135801
long,2025-01-03 01:30:00,1.02732,2025-01-03 04:00:00,1.02892,TP,0.0007787252268037224,0.0015574504536074892,0.0012574504536074893,1.6147550000000572
short,2025-01-03 10:30:00,1.02751,2025-01-03 10:45:00,1.0286976469421503,SL,0.0011558495218054923,-0.0011558495218054758,-0.0014558495218054757,-1.2595493568499896
long,2025-01-03 12:45:00,1.02997,2025-01-05 19:15:00,1.02965,TECH,0.0012195635063911136,-0.0003106886608348767,-0.0006106886608348767,-0.5007436329757059
long,2025-01-05 21:30:00,1.03133,2025-01-06 01:30:00,1.0309,TECH,0.0007841648844412804,-0.00041693735273884446,-0.0007169373527388444,-0.914268627636475
long,2025-01-06 03:00:00,1.03274,2025-01-06 03:30:00,1.03434,TP,0.0007746383407246742,0.0015492766814493928,0.001249276681449393,1.6127225000000576
short,2025-01-06 10:45:00,1.03753,2025-01-06 16:15:00,1.03878,TECH,0.002687766763485836,-0.0012047844399679752,-0.0015047844399679751,-0.5598642190278372
short,2025-01-06 19:00:00,1.03831,2025-01-06 22:30:00,1.0391532964155308,SL,0.0008121817333270352,-0.0008121817333269585,-0.0011121817333269585,-1.369375458336151
long,2025-01-06 22:45:00,1.03924,2025-01-07 02:00:00,1.04084,TP,0.0007697933104961319,0.0015395866209923078,0.001239586620992308,1.6102850000000573
short,2025-01-07 07:30:00,1.04053,2025-01-07 10:00:00,1.0381077550988507,TP,0.0011639476522297256,0.002327895304459539,0.0020278953044595392,1.7422564499140365
long,2025-01-07 20:00:00,1.03468,2025-01-08 00:15:00,1.03502,TECH,0.0007731859125526733,0.00032860401283489284,2.860401283489287e-05,0.036995000000008695
long,2025-01-08 01:00:00,1.03549,2025-01-08 01:45:00,1.03469,SL,0.0007725810968720123,-0.0007725810968719272,-0.0010725810968719271,-1.3883087499998896
short,2025-01-08 02:45:00,1.03356,2025-01-08 03:45:00,1.03196,TP,0.0007740237625295097,0.0015480475250590636,0.0012480475250590637,1.6124150000000572
long,2025-01-08 10:45:00,1.02989,2025-01-08 19:45:00,1.03083,TECH,0.0015515877035394763,0.000912718834050181,0.0006127188340501811,0.3948979697715115
long,2025-01-08 22:00:00,1.03165,2025-01-08 23:00:00,1.03085,SL,0.000775456792516842,-0.0007754567925167565,-0.0010754567925167565,-1.3868687499998897
short,2025-01-09 00:00:00,1.03089,2025-01-09 02:45:00,1.02929,TP,0.000776028480245225,0.0015520569604904942,0.0012520569604904943,1.613416250000057
long,2025-01-09 05:15:00,1.03063,2025-01-09 07:30:00,1.03011,TECH,0.0010655229970062492,-0.0005045457632708673,-0.0008045457632708673,-0.7550712331234168
long,2025-01-09 09:15:00,1.03123,2025-01-09 10:00:00,1.030230148529543,SL,0.0009695717448647727,-0.0009695717448648727,-0.0012695717448648726,-1.3094149572623337
short,2025-01-09 11:30:00,1.02951,2025-01-09 15:15:00,1.03003,TECH,0.0009575907164820041,-0.0005050946566814077,-0.0008050946566814077,-0.840750273393589
short,2025-01-09 18:00:00,1.03007,2025-01-09 21:45:00,1.02992,TECH,0.0007766462473424137,0.0001456211713767943,-0.0001543788286232057,-0.19877624999988183
short,2025-01-10 00:00:00,1.0295,2025-01-10 03:15:00,1.0303,SL,0.0007770762506070908,-0.0007770762506070052,-0.0010770762506070051,-1.3860624999998898
long,2025-01-10 04:00:00,1.03027,2025-01-10 08:30:00,1.0294609704294495,SL,0.0007852597576853973,-0.0007852597576853761,-0.0010852597576853761,-1.3820391877513851
short,2025-01-10 08:45:00,1.02505,2025-01-10 09:15:00,1.0267821589685602,SL,0.001689828758167954,-0.0016898287581680505,-0.0019898287581680504,-1.1775327816798105
long,2025-01-10 15:45:00,1.0243,2025-01-12 19:00:00,1.0243,TECH,0.0013498716985744295,0.0,-0.0003,-0.22224334380580282
long,2025-01-12 19:15:00,1.02421,2025-01-12 19:30:00,1.02403,TECH,0.0009183115603810452,-0.00017574520850222999,-0.00047574520850223,-0.5180651415352147
long,2025-01-12 20:00:00,1.02424,2025-01-12 20:15:00,1.02452,TECH,0.0008601396149741103,0.000273373428102845,-2.6626571897154984e-05,-0.030956104606292816
long,2025-01-12 20:30:00,1.02449,2025-01-12 20:45:00,1.02419,TECH,0.0008432877228099492,-0.0002928286269265361,-0.0005928286269265361,-0.7029968667765618
long,2025-01-12 22:00:00,1.02402,2025-01-12 22:15:00,1.02338,TECH,0.0008142467682619171,-0.0006249877932071385,-0.0009249877932071384,-1.1360042548054663
long,2025-01-13 03:15:00,1.02289,2025-01-13 03:30:00,1.0217619856397668,SL,0.001102771911186198,-0.0011027719111861907,-0.0014027719111861907,-1.2720417494831704
short,2025-01-13 04:30:00,1.01868,2025-01-13 05:00:00,1.0202344113424728,SL,0.0015259073923830908,-0.0015259073923830895,-0.0018259073923830894,-1.1966043296582192
long,2025-01-13 09:15:00,1.02064,2025-01-13 11:00:00,1.0191685841068316,SL,0.001441660030146115,-0.0014416600301461323,-0.0017416600301461322,-1.2080934434796058
short,2025-01-13 16:15:00,1.0219,2025-01-13 16:30:00,1.02224,TECH,0.0009026404042407429,-0.0003327135727566366,-0.0006327135727566366,-0.7009586207132446
short,2025-01-13 21:15:00,1.0242,2025-01-13 22:00:00,1.025392384855826,SL,0.001164210950816171,-0.0011642109508162044,-0.0014642109508162043,-1.2576852586635765
long,2025-01-14 00:00:00,1.02501,2025-01-14 03:15:00,1.026848368708322,TP,0.0008967564747281064,0.0017935129494562028,0.001493512949456203,1.6654610159453056
short,2025-01-14 07:00:00,1.0254,2025-01-14 08:30:00,1.0265224090686105,SL,0.001094606074322581,-0.001094606074322592,-0.001394606074322592,-1.2740711997105187
long,2025-01-14 10:15:00,1.02745,2025-01-14 15:15:00,1.030806957439719,TP,0.0016336354273779122,0.003267270854755927,0.002967270854755927,1.816360495755521
short,2025-01-14 20:00:00,1.03012,2025-01-15 00:15:00,1.03011,TECH,0.0007766085504601406,9.707606880599802e-06,-0.0002902923931194002,-0.37379500000019567
short,2025-01-15 01:00:00,1.0293,2025-01-15 02:30:00,1.0301,SL,0.0007772272418148256,-0.0007772272418147399,-0.00107722724181474,-1.3859874999998898
long,2025-01-15 03:30:00,1.03015,2025-01-15 08:00:00,1.02996,TECH,0.0009264917220567376,-0.0001844391593456414,-0.00048443915934564137,-0.5228747843210354
long,2025-01-15 09:00:00,1.03444,2025-01-15 09:00:00,1.0328521856784751,SL,0.001534950622099774,-0.001534950622099767,-0.001834950622099767,-1.1954460265240328
short,2025-01-15 11:45:00,1.02768,2025-01-15 15:30:00,1.0298003516909044,SL,0.0020632411751757497,-0.0020632411751756586,-0.0023632411751756586,-1.1454022940262203
long,2025-01-15 15:45:00,1.02958,2025-01-15 18:00:00,1.02923,TECH,0.0011355730635937429,-0.0003399444433651105,-0.0006399444433651104,-0.5635431694195714
long,2025-01-15 19:30:00,1.02948,2025-01-15 19:45:00,1.02868,SL,0.0007770913470878503,-0.0007770913470877646,-0.0010770913470877646,-1.3860549999998897
short,2025-01-15 22:00:00,1.02869,2025-01-16 02:00:00,1.0295249913699362,SL,0.0008117035938291951,-0.000811703593829185,-0.001111703593829185,-1.369593041450939
