direction,entry_time,entry_price,exit_time,exit_price,exit_reason,sl_dist_pct,gross_pnl_pct,net_pnl_pct,r_multiple
short,2025-01-02 09:15:00,1.03107,2025-01-02 10:45:00,1.0280598364446667,TP,0.0014597280278416305,0.0029194560556831586,0.0026194560556831586,1.7944822636284614
short,2025-01-03 10:30:00,1.02751,2025-01-03 10:45:00,1.0286976469421503,SL,0.0011558495218054923,-0.0011558495218054758,-0.0014558495218054757,-1.2595493568499896
long,2025-01-06 08:30:00,1.04356,2025-01-06 08:30:00,1.041240888303159,SL,0.002222307962015727,-0.002222307962015667,-0.002522307962015667,-1.1349947915084764
short,2025-01-07 07:45:00,1.03941,2025-01-07 10:00:00,1.03686077259179,TP,0.00122628578145774,0.0024525715629154553,0.0021525715629154554,1.7553588204835895
short,2025-01-07 10:15:00,1.03679,2025-01-07 20:45:00,1.035,TECH,0.001488653386971276,0.001726482701415118,0.001426482701415118,0.9582369636207616
short,2025-01-10 08:45:00,1.02505,2025-01-10 09:15:00,1.0267821589685602,SL,0.001689828758167954,-0.0016898287581680505,-0.0019898287581680504,-1.1775327816798105
short,2025-01-14 07:15:00,1.02429,2025-01-14 07:45:00,1.0254693798494239,SL,0.0011514120507121165,-0.0011514120507121579,-0.0014514120507121578,-1.2605496440778952
long,2025-01-14 10:45:00,1.02894,2025-01-15 01:00:00,1.0293,TECH,0.00177554384111687,0.0003498746282583416,4.987462825834161e-05,0.028089775708928132
long,2025-01-15 08:45:00,1.03289,2025-01-15 10:00:00,1.031450046115281,SL,0.0013941018740806007,-0.0013941018740806675,-0.0016941018740806674,-1.215192308092918
short,2025-01-16 07:30:00,1.02743,2025-01-16 08:45:00,1.0284086631854343,SL,0.0009525351463693365,-0.0009525351463693583,-0.0012525351463693582,-1.3149490085940614
short,2025-01-17 08:30:00,1.02861,2025-01-17 09:45:00,1.0296596769188355,SL,0.0010204809586097248,-0.001020480958609684,-0.001320480958609684,-1.293979027701478
long,2025-01-17 10:15:00,1.03238,2025-01-17 10:30:00,1.0305881001346275,SL,0.0017356979652575957,-0.0017356979652574992,-0.0020356979652574993,-1.1728411313516638
long,2025-01-20 07:00:00,1.03261,2025-01-20 07:15:00,1.03163226087569,SL,0.0009468619559271867,-0.0009468619559271983,-0.0012468619559271982,-1.316836047875897
long,2025-01-20 08:45:00,1.03804,2025-01-20 09:30:00,1.0418189717941324,TP,0.0018202438220744543,0.0036404876441489104,0.0033404876441489105,1.8351869148727005
long,2025-01-20 09:45:00,1.04248,2025-01-20 10:15:00,1.0400719271473837,SL,0.0023099463324152765,-0.0023099463324153455,-0.0026099463324153454,-1.1298731471767092
long,2025-01-21 08:45:00,1.0372,2025-01-21 10:30:00,1.039960681092993,TP,0.0013308335388512692,0.002661667077702458,0.002361667077702458,1.7745773673099416
long,2025-01-21 10:45:00,1.04023,2025-01-21 13:30:00,1.0435268221386365,TP,0.0015846601898794068,0.003169320379758773,0.002869320379758773,1.8106849645646297
short,2025-01-22 09:15:00,1.04185,2025-01-23 02:00:00,1.0390977819505256,TP,0.0013208321972810093,0.0026416643945619254,0.0023416643945619255,1.7728704671057716
short,2025-01-24 08:30:00,1.04666,2025-01-24 09:30:00,1.0479992067895012,SL,0.0012795050823584833,-0.001279505082358435,-0.0015795050823584349,-1.2344656571797028
long,2025-01-24 10:15:00,1.05017,2025-01-26 17:00:00,1.048667735899069,SL,0.0014304961110400605,-0.001430496111040133,-0.001730496111040133,-1.2097174523473215
long,2025-01-27 08:00:00,1.05211,2025-01-27 09:45:00,1.0507736824567342,SL,0.0012701310160211467,-0.0012701310160210509,-0.0015701310160210508,-1.236196105925902
short,2025-01-27 10:45:00,1.04954,2025-01-27 18:15:00,1.0467187886465714,TP,0.001344022787806306,0.0026880455756126483,0.0023880455756126484,1.7767894988673376
short,2025-01-28 07:15:00,1.04191,2025-01-28 08:30:00,1.0430402853165348,SL,0.001084820489807201,-0.0010848204898071024,-0.0013848204898071024,-1.2765434491868959
short,2025-01-29 08:15:00,1.03919,2025-01-29 10:00:00,1.04033247903202,SL,0.001099393789412975,-0.0010993937894129343,-0.0013993937894129342,-1.2728776557489425
long,2025-01-29 10:45:00,1.04252,2025-01-29 11:00:00,1.041193788075545,SL,0.0012721213256865383,-0.0012721213256866172,-0.001572121325686617,-1.2358265630349172
long,2025-01-30 09:00:00,1.0456,2025-01-30 09:00:00,1.0439880301450026,SL,0.0015416697159500985,-0.0015416697159501267,-0.0018416697159501266,-1.1945942097040834
long,2025-02-03 07:30:00,1.02713,2025-02-03 07:45:00,1.0254470846177284,SL,0.0016384638578093916,-0.0016384638578093534,-0.0019384638578093534,-1.1830983323617883
long,2025-02-03 10:30:00,1.03019,2025-02-03 11:45:00,1.0277563104159377,SL,0.0023623696444949618,-0.002362369644494903,-0.002662369644494903,-1.126991133965437
long,2025-02-04 09:15:00,1.03533,2025-02-04 10:30:00,1.037823450115589,TP,0.0012041813313575284,0.0024083626627151534,0.0021083626627151535,1.7508680859038899
long,2025-02-04 10:45:00,1.03788,2025-02-04 19:00:00,1.03712,TECH,0.0015982449272293404,-0.0007322619185261032,-0.001032261918526103,-0.6458721694900638
long,2025-02-06 09:45:00,1.03728,2025-02-06 09:45:00,1.0362414384258893,SL,0.0010012355141433584,-0.0010012355141433764,-0.0013012355141433763,-1.2996298031404663
short,2025-02-07 07:30:00,1.03712,2025-02-07 08:30:00,1.03792,SL,0.0007713668620796051,-0.0007713668620795201,-0.00107136686207952,-1.3889199999998898
short,2025-02-10 09:30:00,1.03064,2025-02-10 10:00:00,1.031701113502188,SL,0.001029567552383115,-0.0010295675523830546,-0.0013295675523830545,-1.2913844742926646
long,2025-02-11 07:30:00,1.03266,2025-02-11 08:15:00,1.03186,SL,0.0007746983518292566,-0.0007746983518291713,-0.0010746983518291713,-1.3872474999998898
long,2025-02-11 09:30:00,1.03305,2025-02-11 11:00:00,1.0347445991202497,TP,0.0008201922076616553,0.0016403844153232833,0.0013403844153232834,1.6342320773135377
short,2025-02-12 08:45:00,1.03279,2025-02-12 09:00:00,1.0341258484332942,SL,0.0012934366456822605,-0.0012934366456822306,-0.0015934366456822305,-1.2319402353423552
short,2025-02-13 07:00:00,1.04029,2025-02-13 08:30:00,1.0377962756137864,TP,0.001198571737791153,0.0023971434755823244,0.0020971434755823245,1.7497020907961243
long,2025-02-14 09:15:00,1.04987,2025-02-14 16:00:00,1.04917,TECH,0.001175229432705037,-0.0006667492165698085,-0.0009667492165698086,-0.8226046673666371
short,2025-02-17 07:45:00,1.04701,2025-02-17 10:00:00,1.0479325944462659,SL,0.000881170615625347,-0.0008811706156253105,-0.0011811706156253105,-1.3404562007404892
short,2025-02-18 07:30:00,1.04537,2025-02-18 10:45:00,1.0461699999999998,SL,0.0007652792791069192,-0.0007652792791068349,-0.0010652792791068348,-1.3920137499998897
