Segment,n_trades,winrate_pct,expectancy_R,net_return_pct,max_drawdown_pct,profit_factor,avg_R
In-sample (70%),709,25.7,-0.0213,-14.05,-14.45,0.52,-0.0213
Out-of-sample (30%),314,29.0,-0.0172,-5.27,-5.68,0.55,-0.0172
