fenetre,n_fenetres,H_moyen,H_median,pct_trending_H>0.55,pct_mean_reverting_H<0.45,pct_random_walk_0.45-0.55
500,365,0.556,0.557,57.8,1.1,41.1
2000,88,0.54,0.542,34.1,0.0,65.9
